y,x,pubs
44.0,3.0,12
44.0,4.0,57
44.0,5.0,16
44.0,6.0,43
44.0,7.0,70
44.0,8.0,159
44.0,9.0,60
44.0,10.0,122
44.0,11.0,129
44.0,12.0,64
44.0,13.0,8
44.0,14.0,10
44.0,15.0,29
44.0,16.0,10
44.0,17.0,26
44.0,18.0,23
44.0,19.0,10
44.0,20.0,125
44.0,21.0,14
44.0,22.0,9
44.0,23.0,28
44.0,24.0,11
44.0,25.0,14
44.0,26.0,116
44.0,27.0,13
44.0,28.0,15
44.0,29.0,2
44.0,30.0,0
44.0,31.0,0
44.0,32.0,0
44.0,33.0,37
45.0,-12.0,0
45.0,-11.0,0
45.0,-10.0,0
45.0,-9.0,0
45.0,-8.0,0
45.0,-7.0,0
45.0,-6.0,0
45.0,-5.0,0
45.0,-4.0,0
45.0,-3.0,0
45.0,-2.0,16
45.0,-1.0,28
45.0,0.0,29
45.0,1.0,31
45.0,2.0,17
45.0,3.0,55
45.0,4.0,183
45.0,5.0,84
45.0,6.0,111
45.0,7.0,189
45.0,8.0,242
45.0,9.0,556
45.0,10.0,243
45.0,11.0,263
45.0,12.0,207
45.0,13.0,127
45.0,14.0,51
45.0,15.0,126
45.0,16.0,45
45.0,17.0,62
45.0,18.0,67
45.0,19.0,45
45.0,20.0,8
45.0,21.0,41
45.0,22.0,8
45.0,23.0,10
45.0,24.0,36
45.0,25.0,51
45.0,26.0,6
45.0,27.0,9
45.0,28.0,22
45.0,29.0,1
45.0,30.0,3
45.0,31.0,0
45.0,32.0,0
45.0,33.0,6
46.0,-12.0,0
46.0,-11.0,0
46.0,-10.0,0
46.0,-9.0,0
46.0,-8.0,0
46.0,-7.0,0
46.0,-6.0,0
46.0,-5.0,0
46.0,-4.0,0
46.0,-3.0,5
46.0,-2.0,47
46.0,-1.0,19
46.0,0.0,18
46.0,1.0,13
46.0,2.0,13
46.0,3.0,23
46.0,4.0,37
46.0,5.0,28
46.0,6.0,172
46.0,7.0,135
46.0,8.0,60
46.0,9.0,47
46.0,10.0,31
46.0,11.0,136
46.0,12.0,35
46.0,13.0,128
46.0,14.0,171
46.0,15.0,128
46.0,16.0,279
46.0,17.0,368
46.0,18.0,458
46.0,19.0,333
46.0,20.0,373
46.0,21.0,244
46.0,22.0,14
46.0,23.0,54
46.0,24.0,37
46.0,25.0,28
46.0,26.0,16
46.0,27.0,0
46.0,28.0,11
46.0,29.0,3
46.0,30.0,32
46.0,31.0,14
46.0,32.0,19
46.0,33.0,5
47.0,-12.0,0
47.0,-11.0,0
47.0,-10.0,0
47.0,-9.0,0
47.0,-8.0,0
47.0,-7.0,0
47.0,-6.0,0
47.0,-5.0,29
47.0,-4.0,43
47.0,-3.0,82
47.0,-2.0,108
47.0,-1.0,39
47.0,0.0,72
47.0,1.0,39
47.0,2.0,25
47.0,3.0,22
47.0,4.0,8
47.0,5.0,52
47.0,6.0,44
47.0,7.0,211
47.0,8.0,335
47.0,9.0,266
47.0,10.0,157
47.0,11.0,151
47.0,12.0,147
47.0,13.0,142
47.0,14.0,58
47.0,15.0,144
47.0,16.0,365
47.0,17.0,508
47.0,18.0,713
47.0,19.0,1330
47.0,20.0,393
47.0,21.0,453
47.0,22.0,69
47.0,23.0,11
47.0,24.0,5
47.0,25.0,8
47.0,26.0,16
47.0,27.0,36
47.0,28.0,47
47.0,29.0,1
47.0,30.0,0
47.0,31.0,8
47.0,32.0,0
47.0,33.0,21
48.0,-12.0,0
48.0,-11.0,0
48.0,-10.0,0
48.0,-9.0,0
48.0,-8.0,0
48.0,-7.0,0
48.0,-6.0,4
48.0,-5.0,177
48.0,-4.0,52
48.0,-3.0,78
48.0,-2.0,90
48.0,-1.0,41
48.0,0.0,21
48.0,1.0,32
48.0,2.0,619
48.0,3.0,8
48.0,4.0,19
48.0,5.0,14
48.0,6.0,56
48.0,7.0,157
48.0,8.0,456
48.0,9.0,919
48.0,10.0,323
48.0,11.0,520
48.0,12.0,146
48.0,13.0,126
48.0,14.0,259
48.0,15.0,100
48.0,16.0,503
48.0,17.0,949
48.0,18.0,811
48.0,19.0,449
48.0,20.0,474
48.0,21.0,569
48.0,22.0,168
48.0,23.0,5
48.0,24.0,56
48.0,25.0,31
48.0,26.0,2
48.0,27.0,4
48.0,28.0,0
48.0,29.0,1
48.0,30.0,8
48.0,31.0,1
48.0,32.0,11
48.0,33.0,2
49.0,-12.0,0
49.0,-11.0,0
49.0,-10.0,0
49.0,-9.0,0
49.0,-8.0,0
49.0,-7.0,9
49.0,-6.0,3
49.0,-5.0,0
49.0,-4.0,0
49.0,-3.0,106
49.0,-2.0,39
49.0,-1.0,25
49.0,0.0,43
49.0,1.0,52
49.0,2.0,78
49.0,3.0,32
49.0,4.0,36
49.0,5.0,157
49.0,6.0,813
49.0,7.0,600
49.0,8.0,1050
49.0,9.0,356
49.0,10.0,225
49.0,11.0,470
49.0,12.0,211
49.0,13.0,296
49.0,14.0,354
49.0,15.0,384
49.0,16.0,758
49.0,17.0,636
49.0,18.0,896
49.0,19.0,279
49.0,20.0,179
49.0,21.0,155
49.0,22.0,39
49.0,23.0,20
49.0,24.0,62
49.0,25.0,20
49.0,26.0,12
49.0,27.0,4
49.0,28.0,42
49.0,29.0,1
49.0,30.0,5
49.0,31.0,3
49.0,32.0,10
49.0,33.0,14
50.0,-12.0,0
50.0,-11.0,0
50.0,-10.0,0
50.0,-9.0,0
50.0,-8.0,0
50.0,-7.0,0
50.0,-6.0,263
50.0,-5.0,478
50.0,-4.0,662
50.0,-3.0,388
50.0,-2.0,922
50.0,-1.0,614
50.0,0.0,292
50.0,1.0,45
50.0,2.0,183
50.0,3.0,889
50.0,4.0,1237
50.0,5.0,862
50.0,6.0,785
50.0,7.0,622
50.0,8.0,905
50.0,9.0,212
50.0,10.0,164
50.0,11.0,304
50.0,12.0,323
50.0,13.0,193
50.0,14.0,875
50.0,15.0,410
50.0,16.0,130
50.0,17.0,103
50.0,18.0,257
50.0,19.0,293
50.0,20.0,46
50.0,21.0,44
50.0,22.0,43
50.0,23.0,16
50.0,24.0,4
50.0,25.0,29
50.0,26.0,26
50.0,27.0,4
50.0,28.0,30
50.0,29.0,11
50.0,30.0,218
50.0,31.0,7
50.0,32.0,3
50.0,33.0,0
51.0,-12.0,0
51.0,-11.0,21
51.0,-10.0,115
51.0,-9.0,325
51.0,-8.0,19
51.0,-7.0,0
51.0,-6.0,29
51.0,-5.0,345
51.0,-4.0,1129
51.0,-3.0,1828
51.0,-2.0,1329
51.0,-1.0,5230
51.0,0.0,2042
51.0,1.0,514
51.0,2.0,117
51.0,3.0,784
51.0,4.0,1716
51.0,5.0,881
51.0,6.0,1135
51.0,7.0,1000
51.0,8.0,400
51.0,9.0,305
51.0,10.0,161
51.0,11.0,194
51.0,12.0,266
51.0,13.0,231
51.0,14.0,103
51.0,15.0,27
51.0,16.0,41
51.0,17.0,133
51.0,18.0,22
51.0,19.0,101
51.0,20.0,13
51.0,21.0,31
51.0,22.0,48
51.0,23.0,9
51.0,24.0,1
51.0,25.0,6
51.0,26.0,1
51.0,27.0,0
51.0,28.0,1
51.0,29.0,1
51.0,30.0,3
51.0,31.0,9
51.0,32.0,0
51.0,33.0,3
52.0,-12.0,0
52.0,-11.0,60
52.0,-10.0,160
52.0,-9.0,426
52.0,-8.0,434
52.0,-7.0,309
52.0,-6.0,0
52.0,-5.0,168
52.0,-4.0,320
52.0,-3.0,1729
52.0,-2.0,2850
52.0,-1.0,1353
52.0,0.0,773
52.0,1.0,768
52.0,2.0,0
52.0,3.0,0
52.0,4.0,1043
52.0,5.0,398
52.0,6.0,238
52.0,7.0,265
52.0,8.0,383
52.0,9.0,335
52.0,10.0,267
52.0,11.0,97
52.0,12.0,60
52.0,13.0,1077
52.0,14.0,62
52.0,15.0,20
52.0,16.0,81
52.0,17.0,23
52.0,18.0,19
52.0,19.0,17
52.0,20.0,78
52.0,21.0,107
52.0,22.0,8
52.0,23.0,21
52.0,24.0,3
52.0,25.0,4
52.0,26.0,3
52.0,27.0,1
52.0,28.0,0
52.0,29.0,2
52.0,30.0,2
52.0,31.0,4
52.0,32.0,1
52.0,33.0,0
53.0,-12.0,0
53.0,-11.0,19
53.0,-10.0,228
53.0,-9.0,243
53.0,-8.0,371
53.0,-7.0,1016
53.0,-6.0,0
53.0,-5.0,134
53.0,-4.0,747
53.0,-3.0,3588
53.0,-2.0,3621
53.0,-1.0,1011
53.0,0.0,157
53.0,1.0,0
53.0,2.0,0
53.0,3.0,0
53.0,4.0,15
53.0,5.0,72
53.0,6.0,136
53.0,7.0,165
53.0,8.0,456
53.0,9.0,446
53.0,10.0,327
53.0,11.0,65
53.0,12.0,37
53.0,13.0,40
53.0,14.0,77
53.0,15.0,7
53.0,16.0,23
53.0,17.0,25
53.0,18.0,77
53.0,19.0,24
53.0,20.0,53
53.0,21.0,7
53.0,22.0,22
53.0,23.0,39
53.0,24.0,0
53.0,25.0,5
53.0,26.0,5
53.0,27.0,56
53.0,28.0,4
53.0,29.0,4
53.0,30.0,2
53.0,31.0,2
53.0,32.0,1
53.0,33.0,1
54.0,-12.0,0
54.0,-11.0,2
54.0,-10.0,44
54.0,-9.0,155
54.0,-8.0,158
54.0,-7.0,194
54.0,-6.0,161
54.0,-5.0,95
54.0,-4.0,357
54.0,-3.0,568
54.0,-2.0,1613
54.0,-1.0,337
54.0,0.0,0
54.0,1.0,0
54.0,2.0,0
54.0,3.0,0
54.0,4.0,0
54.0,5.0,0
54.0,6.0,0
54.0,7.0,9
54.0,8.0,39
54.0,9.0,157
54.0,10.0,102
54.0,11.0,24
54.0,12.0,63
54.0,13.0,47
54.0,14.0,0
54.0,15.0,14
54.0,16.0,21
54.0,17.0,17
54.0,18.0,124
54.0,19.0,18
54.0,20.0,24
54.0,21.0,7
54.0,22.0,6
54.0,23.0,28
54.0,24.0,3
54.0,25.0,70
54.0,26.0,2
54.0,27.0,2
54.0,28.0,2
54.0,29.0,1
54.0,30.0,4
54.0,31.0,0
54.0,32.0,6
54.0,33.0,2
55.0,-12.0,0
55.0,-11.0,0
55.0,-10.0,0
55.0,-9.0,19
55.0,-8.0,71
55.0,-7.0,51
55.0,-6.0,22
55.0,-5.0,610
55.0,-4.0,561
55.0,-3.0,150
55.0,-2.0,370
55.0,-1.0,0
55.0,0.0,0
55.0,1.0,0
55.0,2.0,0
55.0,3.0,0
55.0,4.0,0
55.0,5.0,0
55.0,6.0,0
55.0,7.0,0
55.0,8.0,24
55.0,9.0,35
55.0,10.0,23
55.0,11.0,18
55.0,12.0,165
55.0,13.0,43
55.0,14.0,6
55.0,15.0,0
55.0,16.0,0
55.0,17.0,0
55.0,18.0,0
55.0,19.0,0
55.0,20.0,0
55.0,21.0,18
55.0,22.0,4
55.0,23.0,24
55.0,24.0,7
55.0,25.0,5
55.0,26.0,4
55.0,27.0,0
55.0,28.0,5
55.0,29.0,0
55.0,30.0,16
55.0,31.0,0
55.0,32.0,1
55.0,33.0,0
56.0,-12.0,0
56.0,-11.0,0
56.0,-10.0,0
56.0,-9.0,0
56.0,-8.0,3
56.0,-7.0,6
56.0,-6.0,46
56.0,-5.0,42
56.0,-4.0,295
56.0,-3.0,184
56.0,-2.0,0
56.0,-1.0,0
56.0,0.0,0
56.0,1.0,0
56.0,2.0,0
56.0,3.0,0
56.0,4.0,0
56.0,5.0,0
56.0,6.0,0
56.0,7.0,0
56.0,8.0,8
56.0,9.0,7
56.0,10.0,41
56.0,11.0,0
56.0,12.0,25
56.0,13.0,4
56.0,14.0,14
56.0,15.0,13
56.0,16.0,8
56.0,17.0,0
56.0,18.0,0
56.0,19.0,0
56.0,20.0,0
56.0,21.0,5
56.0,22.0,2
56.0,23.0,11
56.0,24.0,60
56.0,25.0,2
56.0,26.0,1
56.0,27.0,0
56.0,28.0,0
56.0,29.0,0
56.0,30.0,8
56.0,31.0,1
56.0,32.0,1
56.0,33.0,0
57.0,-12.0,0
57.0,-11.0,0
57.0,-10.0,0
57.0,-9.0,0
57.0,-8.0,5
57.0,-7.0,10
57.0,-6.0,27
57.0,-5.0,68
57.0,-4.0,39
57.0,-3.0,165
57.0,-2.0,12
57.0,-1.0,0
57.0,0.0,0
57.0,1.0,0
57.0,2.0,0
57.0,3.0,0
57.0,4.0,0
57.0,5.0,0
57.0,6.0,0
57.0,7.0,0
57.0,8.0,2
57.0,9.0,16
57.0,10.0,8
57.0,11.0,89
57.0,12.0,18
57.0,13.0,2
57.0,14.0,8
57.0,15.0,1
57.0,16.0,3
57.0,17.0,0
57.0,18.0,4
57.0,19.0,0
57.0,20.0,0
57.0,21.0,7
57.0,22.0,0
57.0,23.0,1
57.0,24.0,11
57.0,25.0,2
57.0,26.0,7
57.0,27.0,3
57.0,28.0,15
57.0,29.0,1
57.0,30.0,0
57.0,31.0,1
57.0,32.0,0
57.0,33.0,0
58.0,-12.0,0
58.0,-11.0,0
58.0,-10.0,0
58.0,-9.0,0
58.0,-8.0,0
58.0,-7.0,8
58.0,-6.0,2
58.0,-5.0,2
58.0,-4.0,16
58.0,-3.0,2
58.0,-2.0,0
58.0,-1.0,0
58.0,0.0,0
58.0,1.0,0
58.0,2.0,0
58.0,3.0,0
58.0,4.0,0
58.0,5.0,27
58.0,6.0,7
58.0,7.0,13
58.0,8.0,6
58.0,9.0,4
58.0,10.0,2
58.0,11.0,5
58.0,12.0,9
58.0,13.0,8
58.0,14.0,0
58.0,15.0,19
58.0,16.0,13
58.0,17.0,2
58.0,18.0,0
58.0,19.0,0
58.0,20.0,0
58.0,21.0,0
58.0,22.0,9
58.0,23.0,4
58.0,24.0,17
58.0,25.0,12
58.0,26.0,22
58.0,27.0,8
58.0,28.0,0
58.0,29.0,0
58.0,30.0,0
58.0,31.0,10
58.0,32.0,1
58.0,33.0,1
59.0,-12.0,0
59.0,-11.0,0
59.0,-10.0,0
59.0,-9.0,0
59.0,-8.0,0
59.0,-7.0,0
59.0,-6.0,0
59.0,-5.0,0
59.0,-4.0,2
59.0,-3.0,2
59.0,-2.0,1
59.0,-1.0,0
59.0,0.0,0
59.0,1.0,0
59.0,2.0,0
59.0,3.0,0
59.0,4.0,0
59.0,5.0,15
59.0,6.0,3
59.0,7.0,0
59.0,8.0,4
59.0,9.0,13
59.0,10.0,172
59.0,11.0,22
59.0,12.0,5
59.0,13.0,8
59.0,14.0,1
59.0,15.0,11
59.0,16.0,13
59.0,17.0,54
59.0,18.0,127
59.0,19.0,0
59.0,20.0,0
59.0,21.0,0
59.0,22.0,0
59.0,23.0,1
59.0,24.0,56
59.0,25.0,7
59.0,26.0,8
59.0,27.0,5
59.0,28.0,7
59.0,29.0,10
59.0,30.0,248
59.0,31.0,0
59.0,32.0,1
59.0,33.0,0
