y,x,bar,pub,ice_cream,charging_station,cinema,theatre,supermarket,church,mosque,synagogue,hotel,museum
28.0,-12.0,0,0,0,0,1,0,0,0,4,0,15,0
28.0,-11.0,0,0,0,0,0,0,0,0,1,0,4,0
28.0,-10.0,0,2,0,0,0,0,0,0,1,0,1,3
28.0,-9.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-8.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-7.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-6.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-5.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-4.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-1.0,0,0,0,0,0,0,0,0,1,0,1,0
28.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,7.0,0,0,0,0,0,0,0,0,0,0,1,0
28.0,8.0,0,0,0,0,0,0,0,0,1,0,0,0
28.0,9.0,0,0,0,0,1,0,0,0,1,0,0,0
28.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,17.0,0,0,0,0,0,0,0,0,1,0,1,0
28.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,28.0,0,0,0,0,0,0,0,0,0,0,11,0
28.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,30.0,0,0,0,0,0,1,0,0,1,0,8,1
28.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,32.0,0,0,0,0,0,0,0,0,0,0,1,0
28.0,33.0,0,0,0,0,0,0,0,2,1,0,21,7
29.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,-11.0,0,1,0,0,0,0,0,0,2,0,26,0
29.0,-10.0,0,0,0,0,0,0,0,1,4,0,21,0
29.0,-9.0,0,0,0,0,0,0,0,0,2,0,26,3
29.0,-8.0,0,0,0,0,0,0,0,0,0,0,7,0
29.0,-7.0,0,0,0,0,0,0,0,0,0,0,3,0
29.0,-6.0,0,0,0,0,0,0,0,0,0,0,15,1
29.0,-5.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,-4.0,0,0,0,0,0,0,0,0,2,0,0,0
29.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,0.0,0,0,0,0,0,1,0,0,4,0,7,1
29.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,9.0,0,0,0,0,0,0,0,0,1,0,0,0
29.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,14.0,0,0,0,0,0,0,0,0,2,0,0,0
29.0,15.0,0,1,0,0,0,0,0,0,7,0,3,0
29.0,16.0,0,0,0,0,0,0,0,0,1,0,0,0
29.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,20.0,0,1,0,0,0,0,0,0,0,0,0,0
29.0,21.0,0,0,0,0,1,0,0,0,4,0,5,0
29.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,24.0,0,0,0,0,0,0,0,0,1,0,0,0
29.0,25.0,0,0,0,0,0,0,0,0,1,0,18,2
29.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,28.0,0,0,0,0,0,0,0,0,1,0,0,0
29.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,30.0,0,0,0,1,2,1,0,0,6,0,7,2
29.0,31.0,4,3,1,1,6,3,0,12,12,0,56,10
29.0,32.0,4,0,0,0,1,0,28,0,4,0,61,2
29.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,-11.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,-10.0,25,1,3,1,2,3,2,0,31,0,143,2
30.0,-9.0,2,1,0,0,0,0,0,1,17,0,39,1
30.0,-8.0,0,0,0,0,0,0,0,0,10,0,22,0
30.0,-7.0,0,0,0,1,0,0,0,1,12,1,68,5
30.0,-6.0,0,0,0,0,0,0,0,0,6,0,34,1
30.0,-5.0,0,0,0,0,0,0,0,0,0,0,10,0
30.0,-4.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,-3.0,0,0,0,0,0,1,0,0,2,0,9,1
30.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,2.0,0,0,1,0,0,1,0,1,4,0,9,4
30.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,9.0,0,0,0,0,0,0,0,0,0,0,4,0
30.0,10.0,0,0,0,0,0,0,0,0,1,0,1,0
30.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,13.0,0,0,0,0,0,0,0,0,1,0,0,0
30.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,15.0,0,1,0,0,0,0,0,0,0,0,0,0
30.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,18.0,0,0,0,0,1,0,0,0,0,0,1,0
30.0,19.0,0,0,0,0,0,0,0,0,0,0,1,0
30.0,20.0,0,0,0,1,0,1,0,0,16,0,6,2
30.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,28.0,0,0,0,0,0,0,0,0,0,0,7,1
30.0,29.0,0,0,0,0,0,0,0,0,2,0,4,0
30.0,30.0,1,0,0,0,3,16,0,6,4,0,7,0
30.0,31.0,36,22,5,2,30,18,0,8,66,0,136,39
30.0,32.0,1,1,0,0,0,0,0,0,5,0,5,3
30.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,-11.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,-10.0,8,1,1,0,0,0,1,2,8,0,90,2
31.0,-9.0,31,1,3,1,2,1,0,0,26,2,148,5
31.0,-8.0,17,1,0,0,5,3,0,0,41,0,325,26
31.0,-7.0,3,0,0,0,0,0,0,0,36,0,49,3
31.0,-6.0,0,0,0,0,0,0,0,0,5,0,108,5
31.0,-5.0,2,0,0,0,0,1,0,0,3,0,78,7
31.0,-4.0,0,0,0,0,0,0,0,0,0,0,43,0
31.0,-3.0,0,0,0,0,2,1,0,0,11,0,14,2
31.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0
31.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,5.0,8,0,0,0,1,2,0,0,10,0,17,2
31.0,6.0,1,0,0,0,1,0,0,0,3,0,10,0
31.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,8.0,0,0,0,0,0,0,0,0,0,0,1,0
31.0,9.0,0,0,0,0,0,0,0,0,1,0,0,0
31.0,10.0,0,0,0,0,0,3,0,0,6,0,2,4
31.0,11.0,0,0,0,0,0,0,0,0,16,0,1,0
31.0,12.0,1,0,0,0,3,0,0,0,9,0,2,2
31.0,13.0,0,0,0,0,0,0,0,0,11,0,0,0
31.0,14.0,0,2,0,0,0,1,0,0,10,0,3,1
31.0,15.0,0,0,0,0,0,0,0,0,2,0,2,0
31.0,16.0,0,0,0,0,0,1,0,0,6,0,10,0
31.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,19.0,1,0,0,0,0,0,0,0,1,0,0,0
31.0,20.0,0,1,0,0,1,0,0,1,19,0,0,0
31.0,21.0,0,1,0,0,0,1,0,0,0,0,0,0
31.0,22.0,2,0,0,0,0,0,0,0,0,0,0,0
31.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,24.0,0,0,0,0,0,0,0,0,2,0,1,0
31.0,25.0,0,0,0,0,0,0,0,0,3,0,8,0
31.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,27.0,0,0,0,0,1,2,0,1,2,0,42,1
31.0,28.0,0,0,0,0,0,0,0,0,0,0,1,0
31.0,29.0,4,0,4,0,7,3,0,1,5,1,42,9
31.0,30.0,0,0,0,0,0,14,0,0,8,0,44,2
31.0,31.0,0,0,0,0,3,0,0,0,5,0,12,0
31.0,32.0,4,0,0,0,0,1,0,0,2,0,8,2
31.0,33.0,0,0,1,0,0,0,0,0,0,0,1,0
32.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,-11.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,-10.0,0,0,0,0,0,0,0,0,3,0,21,1
32.0,-9.0,0,0,0,0,0,0,0,0,0,0,3,0
32.0,-8.0,2,1,0,0,0,0,0,0,2,0,6,0
32.0,-7.0,1,1,0,0,1,0,3,0,74,0,39,1
32.0,-6.0,0,0,0,0,0,0,0,0,0,0,19,0
32.0,-5.0,1,0,0,0,0,0,0,0,1,0,20,0
32.0,-4.0,0,0,0,0,0,0,0,0,1,0,1,0
32.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,-2.0,2,0,0,0,0,0,0,0,5,0,10,1
32.0,-1.0,0,0,0,0,0,0,0,0,2,0,1,0
32.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
32.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,3.0,0,0,0,0,0,0,0,0,18,0,12,4
32.0,4.0,0,0,0,0,0,0,0,0,0,0,3,0
32.0,5.0,0,0,0,0,1,0,0,0,2,0,2,0
32.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0
32.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,9.0,0,0,0,0,0,0,0,0,0,0,2,0
32.0,10.0,0,0,1,0,0,1,0,1,12,0,25,1
32.0,11.0,0,0,0,0,0,0,0,0,7,0,1,0
32.0,12.0,0,1,0,2,2,4,0,0,74,0,18,4
32.0,13.0,3,1,16,6,7,3,0,1,334,0,107,4
32.0,14.0,2,1,0,2,1,3,0,0,42,0,12,3
32.0,15.0,4,5,0,3,1,0,0,0,49,0,21,4
32.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,20.0,0,1,1,2,4,5,0,0,59,0,34,0
32.0,21.0,0,0,0,0,1,0,0,0,20,0,23,2
32.0,22.0,0,0,0,0,2,0,0,0,5,0,4,0
32.0,23.0,0,0,0,0,0,0,0,0,10,0,15,1
32.0,24.0,0,0,0,0,0,0,0,0,1,0,0,0
32.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,-11.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,-10.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,-9.0,0,0,0,0,1,2,0,0,4,0,23,0
33.0,-8.0,37,3,8,1,9,15,2,0,62,0,140,5
33.0,-7.0,9,2,2,1,2,3,0,1,29,0,22,1
33.0,-6.0,4,2,1,0,6,3,1,0,38,0,59,6
33.0,-5.0,0,0,0,1,0,0,0,0,2,0,1,0
33.0,-4.0,0,0,0,0,0,0,0,0,3,0,3,0
33.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,-1.0,0,0,0,0,1,0,0,0,4,0,3,1
33.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,1.0,0,0,0,0,0,0,0,0,2,0,3,0
33.0,2.0,0,0,0,0,3,1,0,0,9,0,7,1
33.0,3.0,0,0,0,1,0,0,0,0,1,0,0,0
33.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0
33.0,5.0,0,0,0,0,0,0,0,0,3,0,1,0
33.0,6.0,1,0,1,0,0,1,0,0,51,0,20,3
33.0,7.0,0,0,0,0,0,1,0,0,2,0,8,1
33.0,8.0,1,0,0,0,0,1,0,0,18,0,16,2
33.0,9.0,0,0,0,0,1,3,0,0,11,0,19,4
33.0,10.0,3,0,0,0,1,3,0,0,17,2,86,8
33.0,11.0,8,0,0,0,0,3,0,0,16,0,59,1
33.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,-11.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,-10.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,-9.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,-8.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,-7.0,18,4,0,0,6,3,1,2,46,0,71,11
34.0,-6.0,62,0,0,0,2,0,1,0,12,0,34,5
34.0,-5.0,293,0,0,0,4,0,1,2,15,0,79,7
34.0,-4.0,2,0,0,0,0,0,0,0,3,0,7,0
34.0,-3.0,0,0,0,0,0,1,0,1,12,0,8,0
34.0,-2.0,2,0,7,0,9,4,0,5,40,1,59,10
34.0,-1.0,0,0,1,0,0,1,0,0,6,0,1,0
34.0,0.0,0,0,0,0,3,0,0,0,9,0,7,1
34.0,1.0,0,0,0,0,0,0,0,0,4,0,0,0
34.0,2.0,0,0,0,0,2,0,0,0,3,0,0,0
34.0,3.0,0,0,0,0,1,1,0,0,18,0,12,2
34.0,4.0,0,2,1,0,0,0,0,0,26,0,0,0
34.0,5.0,4,0,0,1,2,3,0,0,60,0,19,1
34.0,6.0,0,0,0,0,0,0,0,0,6,0,0,1
34.0,7.0,0,0,0,0,0,0,0,0,7,0,2,0
34.0,8.0,0,0,0,0,0,2,0,1,5,0,14,0
34.0,9.0,0,2,0,0,0,2,0,0,5,0,0,0
34.0,10.0,4,0,5,0,2,4,0,0,13,1,33,2
34.0,11.0,0,0,0,0,0,1,0,0,8,0,12,1
34.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,24.0,12,2,0,0,0,1,0,2,0,0,21,1
34.0,25.0,1,0,0,0,0,0,0,2,0,0,4,0
34.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,32.0,74,42,7,5,5,9,3,54,0,0,136,48
34.0,33.0,123,52,33,16,5,16,3,67,3,0,223,32
35.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,-11.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,-10.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,-9.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,-8.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,-7.0,4,1,0,1,2,0,0,0,0,0,22,1
35.0,-6.0,34,6,6,1,7,6,0,8,48,0,212,19
35.0,-5.0,3,0,0,0,0,0,0,0,0,0,0,0
35.0,-4.0,3,4,0,0,1,0,1,1,7,0,10,0
35.0,-3.0,3,3,0,0,1,4,1,3,14,0,43,11
35.0,-2.0,4,0,0,0,4,0,0,0,13,0,27,2
35.0,-1.0,8,4,4,0,16,7,3,0,75,0,106,7
35.0,0.0,1,0,8,0,8,4,0,1,39,0,37,10
35.0,1.0,0,0,0,0,2,3,0,0,24,0,21,2
35.0,2.0,0,0,0,0,3,0,0,0,17,0,9,2
35.0,3.0,0,0,0,0,0,1,0,0,56,0,5,0
35.0,4.0,0,0,1,0,3,0,0,0,199,0,8,4
35.0,5.0,0,0,1,0,0,0,0,0,81,0,12,2
35.0,6.0,2,0,2,0,2,4,0,0,34,0,13,4
35.0,7.0,1,0,1,1,3,3,5,1,64,0,18,3
35.0,8.0,0,1,0,0,1,0,0,0,22,0,8,1
35.0,9.0,0,0,0,0,0,0,0,0,15,0,4,3
35.0,10.0,19,5,2,0,2,5,0,2,45,0,157,18
35.0,11.0,6,0,0,0,0,0,0,0,2,0,34,4
35.0,12.0,9,2,2,0,0,0,0,1,0,0,43,0
35.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,14.0,159,55,22,18,7,9,1,132,0,0,148,45
35.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,23.0,49,12,1,8,2,1,1,26,0,0,262,15
35.0,24.0,120,57,17,6,5,21,1,92,2,1,488,43
35.0,25.0,188,26,18,4,10,24,2,134,0,0,571,29
35.0,26.0,7,0,0,1,1,2,0,9,0,0,21,2
35.0,27.0,14,1,0,0,0,1,0,13,0,0,64,5
35.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,32.0,5,3,4,1,0,3,0,5,3,0,25,4
35.0,33.0,116,40,14,12,20,36,1,54,12,0,132,59
36.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,-11.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,-10.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,-9.0,0,0,0,0,0,0,0,0,0,0,0,1
36.0,-8.0,4,0,1,0,0,0,0,1,0,0,0,0
36.0,-7.0,284,105,25,4,11,20,5,90,0,0,161,46
36.0,-6.0,255,139,18,9,8,30,4,78,0,0,281,49
36.0,-5.0,366,192,67,52,13,43,32,129,1,0,350,64
36.0,-4.0,128,87,23,6,4,8,3,36,0,0,121,16
36.0,-3.0,104,58,11,19,5,19,4,30,0,0,95,29
36.0,-2.0,5,1,2,0,0,0,0,0,0,0,11,0
36.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,0.0,1,0,0,0,2,0,0,0,13,0,1,0
36.0,1.0,0,0,0,0,2,2,2,0,27,0,16,2
36.0,2.0,4,2,8,1,13,12,3,1,128,0,91,14
36.0,3.0,13,1,8,0,19,18,4,3,202,0,161,23
36.0,4.0,35,8,5,0,9,6,0,3,133,0,53,19
36.0,5.0,7,1,1,0,9,32,1,0,172,0,115,15
36.0,6.0,3,2,3,1,1,8,1,0,68,0,39,12
36.0,7.0,4,1,2,0,8,5,0,0,57,0,47,7
36.0,8.0,2,0,0,0,0,3,0,0,14,0,46,5
36.0,9.0,1,0,0,0,0,0,0,1,8,0,5,0
36.0,10.0,100,12,18,1,14,16,0,2,55,0,396,27
36.0,11.0,6,0,4,0,1,0,0,11,0,0,28,2
36.0,12.0,0,0,0,0,0,0,0,2,0,0,1,1
36.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,14.0,89,16,22,11,10,22,1,197,0,0,138,31
36.0,15.0,14,2,8,17,1,5,0,62,0,0,44,3
36.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,21.0,21,0,1,7,0,1,0,25,0,0,37,2
36.0,22.0,32,5,1,7,0,11,0,115,0,0,111,7
36.0,23.0,9,0,0,2,0,1,0,49,0,0,14,3
36.0,24.0,21,1,4,0,0,2,0,44,0,0,134,8
36.0,25.0,66,5,8,2,1,2,1,75,0,0,321,22
36.0,26.0,14,2,2,2,0,1,0,8,0,0,91,5
36.0,27.0,116,11,3,2,3,17,1,65,5,0,428,21
